Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,META,META,META,META,META,,,
2024-05-13,2024,5,13,Monday,19,2024-19,469.13,469.73,459.31,464.43,14668800,-0.01719865526607911,453.64071428571424,484.89
2024-05-14,2024,5,14,Tuesday,19,2024-19,459.82,468.92,456.56,468.24,10478600,0.008204813875429373,452.10642857142864,484.3672
2024-05-15,2024,5,15,Wednesday,19,2024-19,471.34,478.81,467.59,477.85,13100500,0.02053620071422957,454.95285714285717,484.1948
2024-05-16,2024,5,16,Thursday,19,2024-19,471.36,474.03,469.13,469.61,16608200,-0.017257002802149035,457.075,483.74119999999994
2024-05-17,2024,5,17,Friday,19,2024-19,467.23,469.18,464.84,468.3,10807300,-0.0027894240252693825,459.86,482.9418
2024-05-20,2024,5,20,Monday,20,2024-20,466.35,469.58,463.47,465.25,11745100,-0.006505422314822984,462.6007142857143,482.2052
2024-05-21,2024,5,21,Tuesday,20,2024-20,463.54,467.1,458.73,461.07,11742200,-0.00897970872734366,464.40357142857147,481.82880000000006
2024-05-22,2024,5,22,Wednesday,20,2024-20,464.29,470.09,462.09,464.2,10078600,0.00677963947779503,466.25357142857143,481.19419999999997
2024-05-23,2024,5,23,Thursday,20,2024-20,469.26,470.73,458.01,462.22,11747900,-0.004275551556669588,467.23357142857145,480.603
2024-05-24,2024,5,24,Friday,20,2024-20,464.04,476.18,462.73,474.56,12024300,0.026707878346754477,468.1221428571429,480.3328000000001
2024-05-28,2024,5,28,Tuesday,21,2024-21,472.93,477.18,471.21,476.25,10175800,0.003554896593537027,468.95,480.24980000000005
2024-05-29,2024,5,29,Wednesday,21,2024-21,471.03,476.18,470.07,470.73,9226200,-0.011585282316123435,469.075,479.80080000000004
2024-05-30,2024,5,30,Thursday,21,2024-21,468.06,468.12,461.15,463.48,10719600,-0.015410312154413575,468.48214285714283,479.2216
2024-05-31,2024,5,31,Friday,21,2024-21,462.24,465.53,450.98,463.26,16919800,-0.00047105568886984805,467.8178571428571,478.4538
2024-06-03,2024,6,3,Monday,22,2024-22,467.26,475.93,464.66,473.84,11279400,0.02283496519435757,468.49000000000007,477.8532
2024-06-04,2024,6,4,Tuesday,22,2024-22,473.35,475.22,469.61,473.34,7088700,-0.0010470388161769595,468.8542857142857,477.2064
2024-06-05,2024,6,5,Wednesday,22,2024-22,480.74,492.85,480.21,491.27,15690500,0.03788332052041499,469.8128571428571,477.04839999999996
2024-06-06,2024,6,6,Thursday,22,2024-22,489.21,498.97,487.13,489.98,10667300,-0.0026258585475326113,471.26785714285717,477.0062
2024-06-07,2024,6,7,Friday,22,2024-22,492.11,495.09,486.42,489.19,9380700,-0.00162029663978569,472.76000000000005,476.9884
2024-06-10,2024,6,10,Monday,23,2024-23,490.08,498.81,489.63,498.75,11220900,0.01955527890220199,475.15285714285716,477.32620000000003
2024-06-11,2024,6,11,Tuesday,23,2024-23,496.33,503.72,494.46,503.59,9673700,0.009689624131256958,478.19,477.6462
